ensembl_gene_id	go_id
F52B5.5	GO:0005634
F52B5.5	GO:0003700
F52B5.5	GO:0008270
F52B5.5	GO:0042803
F52B5.5	GO:0043565
F52B5.5	GO:0016021
F52B5.5	GO:0043401
F52B5.5	GO:0003707
F35E2.1	GO:0005509
K04G2.3	GO:0000166
K04G2.3	GO:0017111
K04G2.3	GO:0005524
W05H12.2	GO:0006139
W05H12.2	GO:0016021
W05H12.2	GO:0005622
W05H12.2	GO:0003676
W05H12.2	GO:0008408
ZK909.3	GO:0003824
ZK909.3	GO:0016021
ZK909.3	GO:0006810
ZK909.3	GO:0008340
ZK909.3	GO:0005215
ZK909.3	GO:0008289
F33D11.3	GO:0006468
F33D11.3	GO:0002009
F33D11.3	GO:0009792
F33D11.3	GO:0002119
F33D11.3	GO:0040035
F33D11.3	GO:0051301
F33D11.3	GO:0000910
F33D11.3	GO:0040011
F33D11.3	GO:0000003
F33D11.3	GO:0006915
F33D11.3	GO:0000776
F33D11.3	GO:0004672
F33D11.3	GO:0005524
F33D11.3	GO:0004674
F33D11.3	GO:0042302
F02E9.3	
F14B6.3	
F14B6.3	GO:0006468
F14B6.3	GO:0002119
F14B6.3	GO:0040025
F14B6.3	GO:0045138
F14B6.3	GO:0051321
F14B6.3	GO:0007265
F14B6.3	GO:0004672
F14B6.3	GO:0005524
F14B6.3	GO:0004713
B0379.4	GO:0006783
B0379.4	GO:0004325
B0379.4	GO:0005515
B0379.4	GO:0016791
B0379.4	GO:0009792
B0379.4	GO:0000003
B0379.4	GO:0005739
B0379.4	GO:0009055
B0379.4	GO:0050660
F32B5.2	GO:0006298
F32B5.2	GO:0006974
F32B5.2	GO:0000003
F32B5.2	GO:0043570
F32B5.2	GO:0042771
F32B5.2	GO:0032301
F32B5.2	GO:0032302
F32B5.2	GO:0005524
F32B5.2	GO:0030983
F32B5.2	GO:0003677
T08G11.1	GO:0016021
T08G11.1	
T08G11.1	GO:0007165
T08G11.1	GO:0007411
T08G11.1	GO:1900194
T08G11.1	GO:0004114
T08G11.1	GO:0003824
T08G11.1	GO:0008081
T08G11.1	GO:0004115
T08G11.1	GO:0019915
C46H11.4	GO:0008440
C46H11.4	GO:0006516
C46H11.4	GO:0005737
C46H11.4	GO:0016021
C46H11.4	GO:0040018
C46H11.4	GO:0010171
C46H11.4	GO:0040011
C46H11.4	GO:0000003
C46H11.4	GO:0002009
C46H11.4	GO:0008340
C46H11.4	GO:0002119
C46H11.4	GO:0006898
C46H11.4	GO:0018996
C46H11.4	GO:0040027
C46H11.4	GO:0006915
C46H11.4	GO:0040034
C46H11.4	GO:0045604
C46H11.4	GO:0007276
C46H11.4	GO:0042787
C46H11.4	GO:0044268
C46H11.4	GO:0005622
C46H11.4	GO:0008270
C46H11.4	GO:0004842
Y110A7A.9	GO:0005515
Y110A7A.9	GO:0009792
Y110A7A.9	GO:0000003
Y110A7A.9	GO:0016021
F26H9.8	GO:0006486
F26H9.8	GO:0016757
F26H9.8	GO:0003980
F48C1.3	
Y37F4.4	GO:0006468
Y37F4.4	GO:0004672
Y37F4.4	GO:0005524
T06D10.1	GO:0009792
T06D10.1	GO:0000003
T06D10.1	GO:0006915
T06D10.1	GO:0003676
T06D10.1	
CC4.3	GO:0016021
CC4.3	GO:0005515
T15D6.11	GO:0006464
T15D6.11	GO:0019915
T15D6.11	GO:0009792
T15D6.11	GO:0007413
T15D6.11	GO:0040011
T15D6.11	GO:0008340
T15D6.11	GO:0016358
T15D6.11	GO:0042176
T15D6.11	GO:0016567
T15D6.11	GO:0005622
T15D6.11	GO:0005737
T15D6.11	GO:0004842
Y54E5A.1	GO:0038032
Y54E5A.1	GO:0007275
Y54E5A.1	GO:0006629
Y54E5A.1	GO:0006633
Y54E5A.1	GO:0055114
Y54E5A.1	GO:0005622
Y54E5A.1	GO:0016021
Y54E5A.1	GO:0004871
Y54E5A.1	GO:0005515
Y54E5A.1	GO:0019901
Y54E5A.1	GO:0016705
F29D10.2	
F32H2.8	GO:0006355
F32H2.8	GO:0006352
F32H2.8	GO:0040010
F32H2.8	GO:0009792
F32H2.8	GO:0040011
F32H2.8	GO:0000003
F32H2.8	GO:0002119
F32H2.8	GO:0040007
F32H2.8	GO:0006468
F32H2.8	GO:0009794
F32H2.8	GO:0045944
F32H2.8	GO:0005669
F32H2.8	GO:0005634
F32H2.8	GO:0005737
F32H2.8	GO:0003700
F59C6.16	GO:0016021
W02B9.1	GO:0007156
W02B9.1	GO:0007155
W02B9.1	GO:0016020
W02B9.1	GO:0005886
W02B9.1	GO:0003723
W02B9.1	GO:0005509
W02B9.1	GO:0005515
W02B9.1	GO:0006468
W02B9.1	GO:0009190
W02B9.1	GO:0006182
W02B9.1	GO:0042048
W02B9.1	GO:0006935
W02B9.1	GO:0007606
W02B9.1	GO:0016021
W02B9.1	GO:0043005
W02B9.1	GO:0044297
W02B9.1	GO:0004672
W02B9.1	GO:0005524
W02B9.1	GO:0016849
W02B9.1	GO:0004713
W02B9.1	GO:0004383
W02B9.1	GO:0009792
W02B9.1	GO:0000003
W02B9.1	GO:0009790
W02B9.1	GO:0048477
W02B9.1	GO:0008406
W02B9.1	GO:0016477
W02B9.1	GO:0006915
W02B9.1	GO:0040035
W02B9.1	GO:0040007
W02B9.1	GO:0002119
W02B9.1	GO:0000079
W02B9.1	GO:0051726
W02B9.1	GO:0051301
W02B9.1	GO:0000910
W02B9.1	GO:0040015
W02B9.1	GO:0040011
W02B9.1	GO:0001556
W02B9.1	GO:0005634
W02B9.1	GO:0019901
F53G12.7	GO:0016021
F53G12.7	GO:0042302
K02F2.3	GO:0016021
K02F2.3	GO:0005634
K02F2.3	GO:0003676
K02F2.3	GO:0005515
F36A2.9	GO:0006355
F36A2.9	GO:0006629
F36A2.9	GO:0003700
F36A2.9	GO:0043565
F36A2.9	GO:0016788
F47G4.6	GO:0005622
F47G4.6	GO:0008270
E01A2.10	
T27A3.4	
C17H1.5	GO:0016021
