ensembl_gene_id	entrezgene
R06A10.2	171687
ZK1225.1	191533
F33E2.10	7040178
Y37H9A.1	173243
Y47G6A.1	171930
W09G3.6	173249
C54C8.1	183768
C01A2.5	173206
F28B3.5	172111
K07G5.2	187120
T21G5.5	188703
Y47G6A.14	189994
T21E3.1	171980
C36F7.1	172789
C10H11.10	172090
C32F10.6	172251
Y63D3A.5	173277
K02B12.8	172644
F56G4.5	173028
ZK973.2	172038
W05F2.5	189217
Y47G6A.33	6418611
T22C1.2	172564
C36B1.9	183252
C50F2.4	183674
T23D8.3	172857
Y54E5A.8	173333
Y54E5A.8	13183075
F44F1.3	185746
W03F11.2	191649
Y71G12A.2	3564796
Y71G12A.2	13179430
F56H1.1	172240
Y71F9B.5	171832
C32E8.1	183123
W04C9.5	189184
K02F2.6	259744
Y18D10A.7	173150
F22D6.8	4363015
F30F8.8	172552
C24A11.9	172190
Y47G6A.31	3565969
F13G3.3	172475
W10C8.4	189332
Y71F9AL.7	171858
Y39G10AR.17	189773
ZK909.2	3565407
B0205.8	172976
Y37E3.17	171775
F12B6.2	171781
Y37F4.5	246002
Y65B4BL.1	171644
Y54E10BL.5	266824
ZC334.12	6418615
Y18H1A.13	4363005
C11D9.1	259373
Y71F9B.8	171837
T08B2.3	188272
Y53H1B.4	190247
Y71F9AL.8	171855
F32A7.8	3565265
DY3.8	259387
T23D8.8	188793
F58D5.9	173084
F13G3.12	3565139
T09B4.4	188316
F52B5.7	3565939
T01G9.4	172611
F10D11.4	184299
Y18H1A.3	171663
Y18D10A.17	173158
W10D5.1	172732
F27C1.11	3565116
Y110A7A.20	260266
Y18D10A.22	260268
Y92H12A.3	171717
D1007.15	172058
C31H5.4	172724
C10G11.6	182506
Y48G8AL.11	171694
R06C1.2	173075
Y71G12B.8	171743
K04H8.3	187016
H15N14.1	172542
H15N14.1	172543
F08A10.1	172602
F08A10.1	13181083
W02D3.11	172395
Y71G12B.15	171734
F47B3.2	185885
K07A1.15	3565158
F32H2.2	185213
T09B4.1	172305
F32B5.6	171827
F27D4.8	6418587
M01A10.1	187350
ZK484.3	266835
Y105E8A.11	173306
Y47H9C.7	173067
T09E11.6	188334
Y71F9B.13	171841
C41D11.3	3565087
C45E1.4	171885
